activity_date,user_id,value
2023-11-10,26,7249
2023-11-10,31,7257
2023-11-10,78,1662
2023-11-10,67,3882
2023-11-10,80,10313
2023-11-11,97,8625
2023-11-11,36,13246
2023-11-11,52,10488
2023-11-11,100,17064
2023-11-11,28,22555
2023-11-11,48,7684
2023-11-11,80,9277
2023-11-11,44,6954
2023-11-11,8,13669
2023-11-11,31,6534
2023-11-11,49,13957
2023-11-08,61,200
2023-11-10,25,18190
2023-11-11,30,9507
2023-11-11,5,9600
2023-11-11,61,1822
2023-11-11,17,7519
2023-11-11,67,1444
2023-11-11,37,20806
2023-11-11,26,8337
2023-11-11,78,4892
2023-11-12,97,6706
2023-11-12,36,10032
2023-11-12,52,5960
2023-11-12,8,3936
2023-11-12,31,8746
2023-11-11,25,15294
2023-11-12,100,7720
2023-11-12,28,5151
2023-11-12,49,7722
2023-11-12,48,5853
2023-11-12,80,10804
2023-11-12,25,15975
2023-11-12,30,10495
2023-11-12,5,6771
2023-11-12,17,3603
2023-11-12,67,1940
2023-11-12,37,11331
2023-11-12,78,1650
2023-11-13,97,13363
2023-11-13,31,7438
2023-11-10,58,476
2023-11-11,58,14526
2023-11-12,58,8229
2023-11-13,58,23192
2023-11-13,100,6439
2023-11-13,52,7937
2023-11-13,48,3793
2023-11-13,17,3059
2023-11-13,80,10153
2023-11-13,49,11981
2023-11-13,37,31780
2023-11-05,100,7897
2023-11-12,44,3454
2023-11-13,36,10396
2023-11-13,25,19785
2023-11-13,30,10161
2023-11-13,5,3973
2023-11-13,67,1670
2023-11-13,78,4486
2023-11-14,48,4990
2023-11-13,44,12536
2023-11-14,31,2441
2023-11-14,52,6770
2023-11-14,44,19544
2023-11-14,36,6024
2023-11-14,100,7316
2023-11-09,26,12259
2023-11-12,61,835
2023-11-12,26,2370
2023-11-13,28,440
2023-11-13,61,225
2023-11-13,8,5062
2023-11-14,97,10478
2023-11-13,26,6949
2023-11-14,58,9368
2023-11-14,80,8011
2023-11-14,78,4318
2023-11-14,30,8818
2023-11-14,17,2388
2023-11-14,49,17289
2023-11-14,61,119
2023-11-14,26,5415
2023-11-14,37,30978
2023-11-14,5,6570
2023-11-14,25,18952
2023-11-14,67,2031
2023-11-15,52,7854
2023-11-14,8,4479
2023-11-14,28,843
2023-11-15,25,21753
2023-11-15,5,4896
2023-11-15,100,6834
2023-11-15,17,8257
2023-11-15,8,7139
2023-11-15,31,3159
2023-11-15,49,18073
2023-11-15,44,11994
2023-11-15,48,8247
2023-11-15,36,5560
2023-11-15,97,12488
2023-11-15,28,519
2023-11-15,67,1845
2023-11-15,80,8355
2023-11-15,30,8840
2023-11-15,78,3301
2023-11-15,37,26993
2023-11-15,26,4948
2023-11-15,61,10005
2023-11-16,44,8675
2023-11-16,31,8479
2023-11-16,52,12527
2023-11-16,5,7371
2023-11-16,37,24852
2023-11-16,8,16469
2023-11-16,49,13669
2023-11-16,100,6339
2023-11-16,36,4166
2023-11-16,61,15820
2023-11-16,17,4706
2023-11-16,48,8162
2023-11-16,78,3411
2023-11-16,67,2662
2023-11-16,80,8285
2023-11-16,30,9751
2023-11-16,97,12785
2023-11-16,28,3670
2023-11-17,52,14478
2023-11-17,100,5356
2023-11-17,97,12133
2023-11-17,48,3706
2023-11-17,44,8714
2023-11-17,31,8496
2023-11-17,8,15842
2023-11-17,36,2856
2023-11-17,30,6110
2023-11-17,61,13893
2023-11-17,17,5739
2023-11-17,5,6262
2023-11-17,37,25564
2023-11-17,78,3816
2023-11-17,49,15881
2023-11-17,80,9300
2023-11-17,67,1106
2023-11-18,8,14122
2023-11-18,36,11655
2023-11-18,52,12300
2023-11-18,31,2244
2023-11-18,49,8967
2023-11-18,48,3500
2023-11-18,61,18116
2023-11-15,58,18072
2023-11-16,26,9860
2023-11-17,28,96
2023-11-18,97,12960
2023-11-18,100,11429
2023-11-18,67,1414
2023-11-18,80,8353
2023-11-18,37,13423
2023-11-18,44,6731
2023-11-18,78,2476
2023-11-18,5,13206
2023-11-18,17,2870
2023-11-19,8,11745
2023-11-16,58,11039
2023-11-17,58,11933
2023-11-17,26,5168
2023-11-18,28,3705
2023-11-18,58,13257
2023-11-18,26,7753
2023-11-19,97,11259
2023-11-19,28,3107
2023-11-19,52,11046
2023-11-19,44,4963
2023-11-19,17,2425
2023-11-19,61,13819
2023-11-16,25,16053
2023-11-19,36,11393
2023-11-19,49,8109
2023-11-19,100,20735
2023-11-19,58,16527
2023-11-19,30,9429
2023-11-19,67,415
2023-11-19,80,10404
2023-11-19,78,6548
2023-11-19,31,6182
2023-11-19,37,15219
2023-11-19,48,9137
2023-11-19,5,2314
2023-11-20,97,9844
2023-11-20,52,9403
2023-11-20,8,4255
